ID,ClassificationID,ClassificationCode,Classification,Discipline,Position,query_text,MatchedUniclassTitle,MatchedUniclassCode,MatchScore,Alternates
3469,36.0,JCB_S,Jacobs PAA Salary,Building Services,,Classification: Jacobs PAA Salary | Discipline: Building Services,Unclassified,Ro_00_Unclassified,0.5048,"[{'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.4638361632823944}, {'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.43317994475364685}]"
3470,35.0,ARC_S,Acradis PAA Salary,Lighting,Electrical Engineer,Classification: Acradis PAA Salary | Discipline: Lighting | Position: Electrical Engineer,Unclassified,Ro_00_Unclassified,0.4981,"[{'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'score': 0.4878561496734619}, {'title': 'Lighting designer', 'code': 'Ro_50_10_50', 'score': 0.4279809594154358}]"
3471,,,,,,,Unclassified,Ro_00_Unclassified,0.3849,"[{'title': 'Joiner', 'code': 'Ro_70_50_44', 'score': 0.3383976221084595}, {'title': 'Client', 'code': 'Ro_10_20_14', 'score': 0.3328319489955902}]"
3472,36.0,JCB_S,Jacobs PAA Salary,Utilities,Mechanical HVAC Designer/ MEPF BIM Modeler,Classification: Jacobs PAA Salary | Discipline: Utilities | Position: Mechanical HVAC Designer/ MEPF BIM Modeler,Unclassified,Ro_00_Unclassified,0.4922,"[{'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.49051952362060547}, {'title': 'Transportation manager', 'code': 'Ro_10_40_90', 'score': 0.47553330659866333}]"
3473,36.0,JCB_S,Jacobs PAA Salary,ITS (Surface),Surface ITS Engineer,Classification: Jacobs PAA Salary | Discipline: ITS (Surface) | Position: Surface ITS Engineer,Unclassified,Ro_00_Unclassified,0.4694,"[{'title': 'Facade engineer', 'code': 'Ro_50_10_29', 'score': 0.430420458316803}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'score': 0.43036431074142456}]"
3474,38.0,ARC_G,Arcadis GEC,Buildings,BIM Coordinator,Classification: Arcadis GEC | Discipline: Buildings | Position: BIM Coordinator,Unclassified,Ro_00_Unclassified,0.5002,"[{'title': 'Building control officer', 'code': 'Ro_30_30_09', 'score': 0.46912455558776855}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'score': 0.4686228632926941}]"
3475,38.0,ARC_G,Arcadis GEC,Buildings,Senior Engineer,Classification: Arcadis GEC | Discipline: Buildings | Position: Senior Engineer,Unclassified,Ro_00_Unclassified,0.5524,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'score': 0.517803966999054}, {'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'score': 0.5172080993652344}]"
3476,38.0,ARC_G,Arcadis GEC,Buildings,Electrical Engineer,Classification: Arcadis GEC | Discipline: Buildings | Position: Electrical Engineer,Unclassified,Ro_00_Unclassified,0.5628,"[{'title': 'Building services engineer', 'code': 'Ro_50_20_08', 'score': 0.53847736120224}, {'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'score': 0.5300210118293762}]"
3477,38.0,ARC_G,Arcadis GEC,Buildings,Hydraulics,Classification: Arcadis GEC | Discipline: Buildings | Position: Hydraulics,Unclassified,Ro_00_Unclassified,0.4323,"[{'title': 'Geotechnical engineer', 'code': 'Ro_50_20_37', 'score': 0.4309210777282715}, {'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'score': 0.4227994680404663}]"
3478,38.0,ARC_G,Arcadis GEC,Buildings,Senior BIM Modeller,Classification: Arcadis GEC | Discipline: Buildings | Position: Senior BIM Modeller,Unclassified,Ro_00_Unclassified,0.4804,"[{'title': 'Architect', 'code': 'Ro_50_10_03', 'score': 0.4720381200313568}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'score': 0.47051936388015747}]"
