ID,ClassificationID,ClassificationCode,Classification,Discipline,Position
2486,36.0,JCB_S,Jacobs PAA Salary,Air Quality,Environmental Engineer
2487,35.0,ARC_S,Acradis PAA Salary,Project Management,DNOP Commercial Manager
2488,35.0,ARC_S,Acradis PAA Salary,Design Management,Precinct Wide DM
2489,35.0,ARC_S,Acradis PAA Salary,Design Management,S1S Zone Design Manager
2490,35.0,ARC_S,Acradis PAA Salary,,
2491,35.0,ARC_S,Acradis PAA Salary,Drainage,Drainage and Flooding Discipline Lead
2492,35.0,ARC_S,Acradis PAA Salary,Project Management,Resource Manager
2493,35.0,ARC_S,Acradis PAA Salary,Design Management,Design Manager
2494,35.0,ARC_S,Acradis PAA Salary,ITS (Surface),ITS Discipline Lead
2495,36.0,JCB_S,Jacobs PAA Salary,Project Management,Operations Lead - DNOP
2496,36.0,JCB_S,Jacobs PAA Salary,Project Management,Travel Coordintor
2497,36.0,JCB_S,Jacobs PAA Salary,Project Management,Administration
2498,38.0,ARC_G,Arcadis GEC,Project Management,Cost Controller
2499,36.0,JCB_S,Jacobs PAA Salary,Drainage,Design Delivery Manager
2500,36.0,JCB_S,Jacobs PAA Salary,Structures,Discipline Lead Miscellaneous Structures
2501,36.0,JCB_S,Jacobs PAA Salary,Structures,Assistant Discipline Lead - Retaining Walls
2502,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical Lead
2503,35.0,ARC_S,Acradis PAA Salary,,
2504,35.0,ARC_S,Acradis PAA Salary,,Scheduler
2505,35.0,ARC_S,Acradis PAA Salary,Project Management,Scheduler
2506,35.0,ARC_S,Acradis PAA Salary,,
2507,35.0,ARC_S,Acradis PAA Salary,Project Management,Software Engineer/ Solution Architect
2508,38.0,ARC_G,Arcadis GEC,Project Management,Software Developer
2509,38.0,ARC_G,Arcadis GEC,Project Management,Web Developer
2510,38.0,ARC_G,Arcadis GEC,Project Management,Software Developer
2511,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,BIM Lead (Utilities)
2512,36.0,JCB_S,Jacobs PAA Salary,Project Management,Operational Support
2513,36.0,JCB_S,Jacobs PAA Salary,Drafting,Verifier
2514,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,DE Lead
2515,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,CAD Bridges Lead
2516,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Design Engineer
2517,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Package Lead
2518,35.0,ARC_S,Acradis PAA Salary,Drainage,Drainage Engineer
2519,38.0,ARC_G,Arcadis GEC,Drainage,Drainage BIM Support
2520,35.0,ARC_S,Acradis PAA Salary,Flooding,Flood Engineer
2521,35.0,ARC_S,Acradis PAA Salary,Flooding,Flood Modeller Package Lead
2522,35.0,ARC_S,Acradis PAA Salary,Road Design,Principal Road Designer
2523,35.0,ARC_S,Acradis PAA Salary,Road Design,Zone lead
2524,35.0,ARC_S,Acradis PAA Salary,Road Civil,Road Furniture Package Lead
2525,35.0,ARC_S,Acradis PAA Salary,Design Management,Civil Engineer
2526,36.0,JCB_S,Jacobs PAA Salary,Project Management,DNOP Cost Control Lead
2527,36.0,JCB_S,Jacobs PAA Salary,Structures,South Tunnel South Portal Structures lead
2528,36.0,JCB_S,Jacobs PAA Salary,Flooding,Flood Modeller
2529,36.0,JCB_S,Jacobs PAA Salary,Flooding,Flood Modeller
2530,36.0,JCB_S,Jacobs PAA Salary,Flooding,Flood Modelling Engineer
2531,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Engineering Geologist
2532,36.0,JCB_S,Jacobs PAA Salary,Project Management,Lead Planner
2533,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil PL
2534,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads and Civil Assistant Discipline Lead
2535,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,Structural Modelling/drafting lead
2536,36.0,JCB_S,Jacobs PAA Salary,Design Management,Assistant PDM - South
2537,36.0,JCB_S,Jacobs PAA Salary,,
2538,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural Engineer
2539,36.0,JCB_S,Jacobs PAA Salary,Drainage,Drainage PL
2540,36.0,JCB_S,Jacobs PAA Salary,Structures,Piled Retaining Walls: Team A
2542,36.0,JCB_S,Jacobs PAA Salary,Design Management,Northern Precinct Design Manager & Interface Manag
2543,36.0,JCB_S,Jacobs PAA Salary,,
2544,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical Enginee
2545,36.0,JCB_S,Jacobs PAA Salary,CNOP,Sustainability Lead Design
2546,36.0,JCB_S,Jacobs PAA Salary,CNOP,Environmental Planner
2547,35.0,ARC_S,Acradis PAA Salary,Project Management,Assistant Project Manager
2548,35.0,ARC_S,Acradis PAA Salary,Project Management,Senior Project Director
2549,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Principal Tunnel ENgineer
2550,36.0,JCB_S,Jacobs PAA Salary,Project Management,PM
2551,35.0,ARC_S,Acradis PAA Salary,Road Civil,Road Furniture Lead - Project Wide
2552,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,BIM Coordinator
2553,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,DNOP Tunnel BIM Lead
2554,38.0,ARC_G,Arcadis GEC,Road Design,Road Designer
2555,,,,,
2556,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,Digital Engineering Lead
2557,36.0,JCB_S,Jacobs PAA Salary,Drafting,Civil CAD Manager
2558,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geologist
2559,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,DE Lead for Tunnels/Spaceproofing
